experiment,stealth_pre_attack_accuracy,stealth_pre_attack_round_single,stealth_pre_attack_accuracy_avg5,stealth_attack_phase_avg_accuracy,stealth_attack_phase_min_accuracy,stealth_attack_phase_max_accuracy,stealth_max_accuracy_drop,stealth_max_accuracy_drop_single,stealth_max_accuracy_drop_avg5,stealth_max_drop_round,stealth_avg_accuracy_drop,stealth_avg_accuracy_drop_single,stealth_avg_accuracy_drop_avg5,stealth_accuracy_variance,stealth_attack_phase_rounds,stealth_is_stealthy,durability_peak_backdoor_accuracy,durability_final_backdoor_accuracy,durability_attack_start,durability_attack_end,durability_lifespan_50,durability_lifespan_40,durability_lifespan_30,durability_lifespan_25,durability_stab_threshold_50,durability_stab_threshold_40,durability_stab_threshold_30,durability_stab_threshold_25,durability_stab_threshold_20,durability_stab_volatility_10,durability_stab_volatility_05,durability_stab_volatility_03,durability_post_attack_volatility,durability_impact_rounds_above_50,durability_impact_rounds_above_40,durability_impact_rounds_above_30,durability_impact_rounds_above_25,durability_post_attack_rounds,durability_post_attack_avg_ba,durability_post_attack_min_ba,durability_post_attack_max_ba,durability_stab_window,durability_stab_tolerance
EX_SET1_A(1)_20260321_173753,0.7947368421052632,49,0.7852631578947369,0.7882003395585738,0.7236842105263158,0.8289473684210527,0.07105263157894737,0.07105263157894737,0.061578947368421066,54,0.012224108658743646,0.012224108658743646,0.008013582342954175,0.023692697969887398,31,False,0.4939759036144578,0.2289156626506024,50,80,0,1,2,3,20,20,20,304,-1,20,296,682,0.06253985340121201,0,17,118,320,919,0.22886322220328542,0.024096385542168676,0.46987951807228917,20,0.8
EX_SET1_A(2)_20260321_215907,0.7315789473684211,49,0.7794736842105264,0.7766553480475382,0.6973684210526315,0.8157894736842105,0.03421052631578958,0.03421052631578958,0.0821052631578949,72,0.0017826825127334521,0.0017826825127334521,0.012020373514431294,0.028777347068244197,31,True,0.5662650602409639,0.20481927710843373,50,80,0,0,0,0,20,20,38,529,-1,35,245,-1,0.06395058260563634,2,18,194,417,919,0.2402427992710778,0.08433734939759036,0.4578313253012048,20,0.8
EX_SET1_A(3)_20260321_225700,0.7947368421052632,49,0.7915789473684212,0.7799660441426145,0.7157894736842105,0.8157894736842105,0.07894736842105265,0.07894736842105265,0.07578947368421063,63,0.018675721561969456,0.018675721561969456,0.016859083191850654,0.027630972586119094,31,False,0.5060240963855421,0.21686746987951808,50,80,0,0,0,0,20,20,20,33,53,20,340,620,0.05707555505500103,1,13,88,302,919,0.21925351023244227,0.03614457831325301,0.42168674698795183,20,0.8
EX_SET1_A(4)_20260322_082932,0.7552631578947369,49,0.7736842105263158,0.7871816638370118,0.6947368421052632,0.8315789473684211,0.06052631578947365,0.06052631578947365,0.07894736842105254,60,0.004159592529711374,0.004159592529711374,0.007724957555178257,0.03251352396709627,31,False,0.6024096385542169,0.27710843373493976,50,80,0,0,1,1,20,20,20,227,-1,20,252,789,0.06078076616278206,2,9,140,328,919,0.22844369862474928,0.03614457831325301,0.4819277108433735,20,0.8
EX_SET1_A(5)_20260322_092240,0.7973684210526316,49,0.7984210526315789,0.7880305602716469,0.6657894736842105,0.8210526315789474,0.13157894736842113,0.13157894736842113,0.13263157894736843,55,0.014346349745331086,0.014346349745331086,0.014889643463497436,0.03262053229600789,31,False,0.6385542168674698,0.25301204819277107,50,80,0,0,1,1,20,20,20,118,-1,54,237,792,0.06056489700462675,2,8,134,312,919,0.22357984713609608,0.024096385542168676,0.46987951807228917,20,0.8
EX_SET1_B(1)_20260322_102145,0.7973684210526316,49,0.7863157894736842,0.7745331069609509,0.6631578947368421,0.8105263157894737,0.13421052631578956,0.13421052631578956,0.12315789473684213,54,0.023853989813242816,0.023853989813242816,0.015670628183361623,0.030495955083295553,31,False,0.6626506024096386,0.2289156626506024,50,80,0,0,1,1,20,20,20,47,-1,61,273,628,0.06148288548575934,2,20,152,346,919,0.23317644899510995,0.07228915662650602,0.4578313253012048,20,0.8
EX_SET1_B(2)_20260322_112501,0.8026315789473685,49,0.7747368421052632,0.7853140916808148,0.7236842105263158,0.8157894736842105,0.07894736842105265,0.07894736842105265,0.05105263157894735,78,0.019694397283531444,0.019694397283531444,0.006417657045840415,0.025746241902279025,31,False,0.4819277108433735,0.20481927710843373,50,80,0,0,0,0,20,20,20,51,-1,20,278,882,0.05875151478835764,0,8,137,386,919,0.23406793659949918,0.060240963855421686,0.4819277108433735,20,0.8
EX_SET1_B(3)_20260322_122140,0.8342105263157895,49,0.8152631578947368,0.7848896434634974,0.7,0.8263157894736842,0.13421052631578956,0.13421052631578956,0.11526315789473685,67,0.04932088285229206,0.04932088285229206,0.03118845500848892,0.0261394772778975,31,False,0.4578313253012048,0.1927710843373494,50,80,0,0,0,0,20,20,83,133,576,95,316,820,0.06380648732420599,0,12,114,257,919,0.21445520930293535,0.04819277108433735,0.4939759036144578,20,0.8
EX_SET1_B(4)_20260322_131613,0.7526315789473684,49,0.7947368421052631,0.7749575551782683,0.7026315789473684,0.8236842105263158,0.050000000000000044,0.050000000000000044,0.09210526315789469,57,0.005348047538200349,0.005348047538200349,0.024702886247877715,0.03345226452316165,31,False,0.5903614457831325,0.1927710843373494,50,80,0,1,1,1,20,20,25,66,442,22,288,857,0.05784658834083733,5,16,84,237,919,0.21171519593062132,0.060240963855421686,0.5783132530120482,20,0.8
EX_SET1_B(5)_20260322_142445,0.7973684210526316,49,0.781578947368421,0.7858234295415959,0.7131578947368421,0.8131578947368421,0.08421052631578951,0.08421052631578951,0.06842105263157894,54,0.01612903225806453,0.01612903225806453,0.009337860780984713,0.027193073735173667,31,False,0.5180722891566265,0.2289156626506024,50,80,0,0,0,0,20,20,30,33,158,25,284,-1,0.059697173129433866,2,12,108,279,919,0.21724766312256644,0.03614457831325301,0.43373493975903615,20,0.8
